iter	Passed	Remaining
0	3	9790
1	1	24	36092	25	25791
3	33	83	6284	34	93	55973
5	100	49946	6	109	4697	77	113	428	79	26374
9	86	25780
10	92	25184
11	102	25512	12	115	26573
13	121	25879
14	125	25031
15	129	24165
16	136	23992
17	152	25341
18	160	25169
19	166	24805
20	171	24334
21	181	24631
22	187	24266
23	191	23744
24	195	23230
25	199	22793
26	205	22596
27	214	22784
28	223	22907
29	232	22975
30	236	22628
31	240	22269
32	254	22917
33	260	22747
34	265	22486
35	269	22171
36	294	23576
37	300	23459
38	306	23296
39	311	23057
40	317	22935
41	321	22628
42	325	22369
43	329	22120
44	332	21866
45	338	21764
46	344	21635
47	348	21421
48	351	21185
49	355	20998
50	359	20810
51	363	20621
52	381	21213
53	385	21022
54	391	20949
55	397	20914
56	415	21441
57	424	21533
58	431	21499
59	436	21387
60	440	21219
61	444	21057
62	455	21239
63	461	21159
64	465	20998
65	469	20852
66	472	20694
67	480	20728
68	489	20772
69	506	21219
70	510	21079
71	514	20942
72	518	20808
73	522	20669
74	532	20772
75	536	20655
76	540	20529
77	544	20406
78	548	20282
79	558	20401
80	566	20410
81	570	20289
82	574	20174
83	579	20132
84	588	20192
85	594	20137
86	601	20132
87	609	20152
88	615	20130
89	619	20027
90	625	19981
91	628	19881
92	633	19797
93	646	19971
94	655	20055
95	659	19950
96	663	19854
97	672	19903
98	676	19811
99	680	19725
100	690	19830
101	696	19798
102	706	19860
103	711	19825
104	716	19758
105	726	19828
106	730	19747
107	734	19676
108	740	19648
109	746	19615
110	750	19536
111	754	19459
112	770	19679
113	775	19643
114	782	19624
115	788	19602
116	792	19527
117	796	19444
118	804	19486
119	810	19451
120	819	19496
121	826	19506
122	835	19550
123	844	19593
124	850	19550
125	854	19490
126	860	19461
127	868	19483
128	877	19536
129	881	19468
130	885	19399
131	889	19333
132	893	19268
133	900	19265
134	907	19252
135	910	19183
136	914	19118
137	921	19109
138	925	19046
139	929	18978
140	934	18952
141	940	18931
142	947	18927
143	952	18888
144	956	18836
145	960	18773
146	963	18705
147	967	18644
148	971	18595
149	975	18542
150	980	18499
151	983	18428
152	987	18366
153	991	18318
154	995	18270
155	1000	18231
156	1004	18191
157	1009	18157
158	1013	18104
159	1017	18054
160	1021	18013
161	1026	17976
162	1030	17935
163	1033	17870
164	1038	17837
165	1041	17777
166	1044	17725
167	1048	17666
168	1051	17618
169	1054	17557
170	1057	17502
171	1060	17441
172	1063	17379
173	1065	17308
174	1069	17258
175	1072	17213
176	1076	17172
177	1080	17127
178	1083	17077
179	1087	17030
180	1089	16973
181	1092	16914
182	1095	16863
183	1098	16817
184	1101	16767
185	1105	16720
186	1109	16689
187	1112	16638
188	1115	16588
189	1118	16546
190	1122	16513
191	1125	16466
192	1129	16422
193	1132	16381
194	1135	16336
195	1138	16286
196	1141	16237
197	1143	16188
198	1146	16143
199	1150	16102
200	1153	16067
201	1156	16023
202	1159	15981
203	1163	15944
204	1166	15907
205	1170	15877
206	1173	15829
207	1175	15775
208	1179	15747
209	1182	15714
210	1187	15692
211	1190	15656
212	1194	15627
213	1197	15589
214	1200	15552
215	1204	15519
216	1206	15478
217	1210	15442
218	1213	15411
219	1216	15368
220	1218	15325
221	1222	1212	1222	1223	1215	1223	1224	1219	1224	1225	1222	1225	1234	15153
226	1238	15128
227	1241	15091
228	1244	15062
229	1248	15039
230	1252	15007
231	1255	14978
232	1259	14952
233	1262	14924
234	1265	14895
235	1269	14866
236	1272	14834
237	1276	14815
238	1280	14790
239	1284	14773
240	1288	14750
241	1291	14719
242	1295	14700
243	1299	14673
244	1302	14649
245	1306	14621
246	1310	14610
247	1313	14576
248	1316	14548
249	1319	14515
250	1322	14484
251	1326	14465
252	1329	14439
253	1334	14422
254	1337	14398
255	1341	14375
256	1344	14351
257	1347	14317
258	1351	14298
259	1354	14271
260	1357	14246
261	1361	14231
262	1365	14206
263	1368	14180
264	1371	14156
265	1375	14135
266	1380	14128
267	1383	14105
268	1388	14091
269	1391	14069
270	1395	14050
271	1398	14029
272	1402	14006
273	1405	13986
274	1410	13978
275	1413	13954
276	1416	13929
277	1419	13896
278	1422	13869
279	1425	13847
280	1429	13836
281	1434	13821
282	1437	13804
283	1441	13783
284	1445	13771
285	1450	13760
286	1453	13738
287	1456	13714
288	1459	13690
289	1462	13668
290	1465	13644
291	1469	13628
292	1472	13606
293	1476	13592
294	1480	13570
295	1484	13562
296	1488	13543
297	1491	13522
298	1494	13500
299	1497	13477
300	1501	13459
301	1504	13438
302	1507	13418
303	1510	13393
304	1513	13373
305	1516	13354
306	1520	13337
307	1523	13317
308	1527	13301
309	1530	13279
310	1533	13259
311	1536	13237
312	1539	13220
313	1543	13201
314	1545	13176
315	1547	13147
316	1551	13133
317	1554	13113
318	1558	13095
319	1561	13074
320	1563	13045
321	1566	13027
322	1569	13008
323	1573	12996
324	1577	12982
325	1580	12966
326	1583	12946
327	1587	12932
328	1591	12918
329	1594	12899
330	1597	12883
331	1602	12874
332	1604	12854
333	1608	12838
334	1612	12830
335	1616	12816
336	1619	12798
337	1622	12780
338	1626	12768
339	1631	12762
340	1638	12775
341	1642	12763
342	1645	12748
343	1649	12732
344	1652	12714
345	1655	12701
346	1659	12688
347	1663	12673
348	1667	12665
349	1670	12648
350	1674	12639
351	1678	12628
352	1681	12609
353	1684	12593
354	1688	12578
355	1690	12553
356	1693	12538
357	1697	12528
358	1701	12514
359	1704	12500
360	1708	12489
361	1711	12472
362	1714	12456
363	1719	12451
364	1722	12436
365	1725	12419
366	1729	12405
367	1732	12392
368	1736	12379
369	1739	12367
370	1743	12353
371	1746	12339
372	1749	12323
373	1753	12309
374	1756	12295
375	1758	12274
376	1762	12259
377	1765	12244
378	1768	12232
379	1771	12216
380	1775	12204
381	1779	12195
382	1782	12180
383	1785	12162
384	1788	12148
385	1791	12135
386	1795	12125
387	1799	12112
388	1801	12094
389	1804	12078
390	1808	12069
391	1813	12068
392	1817	12053
393	1819	12036
394	1823	12025
395	1827	12016
396	1831	12008
397	1834	11993
398	1838	11982
399	1841	11970
400	1844	11957
401	1848	11948
402	1852	11935
403	1855	11920
404	1858	11908
405	1861	11894
406	1864	11880
407	1867	11866
408	1870	11852
409	1873	11835
410	1876	11820
411	1879	11808
412	1882	11793
413	1886	11783
414	1890	11774
415	1893	11761
416	1896	11749
417	1899	11734
418	1903	11726
419	1907	11716
420	1910	11704
421	1914	11697
422	1919	11692
423	1923	11683
424	1926	11672
425	1930	11662
426	1933	11650
427	1937	11640
428	1941	11632
429	1944	11623
430	1948	11611
431	1952	11604
432	1957	11602
433	1960	11589
434	1963	11580
435	1968	11573
436	1972	11568
437	1975	11557
438	1979	11549
439	1983	11540
440	1986	11529
441	1990	11522
442	1995	11517
443	2001	11523
444	2006	11522
445	2009	11509
446	2013	11500
447	2017	11493
448	2020	11479
449	2024	11473
450	2028	11462
451	2031	11454
452	2034	11439
453	2038	11431
454	2041	11419
455	2044	11407
456	2048	11396
457	2051	11388
458	2055	11380
459	2058	11368
460	2061	11355
461	2065	11344
462	2068	11332
463	2071	11320
464	2074	11312
465	2078	11304
466	2082	11296
467	2085	11283
468	2088	11272
469	2091	11257
470	2094	11245
471	2097	11234
472	2101	11226
473	2105	11220
474	2108	11208
475	2112	11199
476	2116	11194
477	2119	11183
478	2122	11172
479	2125	11160
480	2128	11149
481	2132	11141
482	2136	11135
483	2140	11126
484	2143	11117
485	2147	11109
486	2151	11103
487	2155	11093
488	2159	11086
489	2162	11077
490	2166	11068
491	2168	11055
492	2173	11052
493	2176	11039
494	2178	11026
495	2183	11020
496	2186	11010
497	2189	11000
498	2192	10989
499	2196	10984
500	2201	10978
501	2204	10972
502	2209	10970
503	2214	10965
504	2218	10959
505	2221	10951
506	2224	10939
507	2229	10935
508	2233	10932
509	2241	10945
510	2246	10943
511	2254	10957
512	2261	10965
513	2265	10958
514	2270	10957
515	2274	10947
516	2278	10942
517	2282	10935
518	2287	10932
519	2290	10924
520	2293	10914
521	2297	10907
522	2302	10906
523	2307	10901
524	2310	10894
525	2314	10885
526	2318	10879
527	2321	10869
528	2325	10864
529	2330	10858
530	2333	10851
531	2336	10841
532	2340	10831
533	2344	10828
534	2348	10820
535	2352	10813
536	2355	10802
537	2359	10799
538	2363	10792
539	2366	10781
540	2370	10775
541	2375	10772
542	2381	10774
543	2384	10764
544	2387	10755
545	2391	10748
546	2394	10738
547	2398	10731
548	2403	10728
549	2407	10725
550	2412	10723
